chart_id,logical_series,label,frequency,bde_path,mandatory_terms,optional_terms,exclude_terms,expected_dimension_1,expected_dimension_2,unit,selection_status,selected_series_id,review_comment
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_Residentes no bancos,USD/CLP vigente Residentes no bancos,MONTHLY,Derivados > Monedas > Bancos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|contraparte|usd-clp,Residentes no bancos|USD/CLP vigente Residentes no bancos,me-ml|diario|fondos de pensiones entidades no bancarias,Residentes no bancos,,MM USD,,,
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_Residentes no bancos,USD/CLP neto Residentes no bancos,MONTHLY,Derivados > Monedas > Bancos > Bancos diario/mensual > Montos vigentes > Montos vigentes netos por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|neto|contraparte|usd-clp,Residentes no bancos|USD/CLP neto Residentes no bancos,me-ml|monto transado|fondos de pensiones entidades no bancarias,Residentes no bancos,,MM USD,,,
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_Fondos de pensiones,USD/CLP vigente Fondos de pensiones,MONTHLY,Derivados > Monedas > Bancos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|contraparte|usd-clp,Fondos de pensiones|USD/CLP vigente Fondos de pensiones,me-ml|diario|fondos de pensiones entidades no bancarias,Fondos de pensiones,,MM USD,,,
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_Fondos de pensiones,USD/CLP neto Fondos de pensiones,MONTHLY,Derivados > Monedas > Bancos > Bancos diario/mensual > Montos vigentes > Montos vigentes netos por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|neto|contraparte|usd-clp,Fondos de pensiones|USD/CLP neto Fondos de pensiones,me-ml|monto transado|fondos de pensiones entidades no bancarias,Fondos de pensiones,,MM USD,,,
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_Sector real,USD/CLP vigente Sector real,MONTHLY,Derivados > Monedas > Bancos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|contraparte|usd-clp,Sector real|USD/CLP vigente Sector real,me-ml|diario|fondos de pensiones entidades no bancarias,Sector real,,MM USD,,,
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_Sector real,USD/CLP neto Sector real,MONTHLY,Derivados > Monedas > Bancos > Bancos diario/mensual > Montos vigentes > Montos vigentes netos por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|neto|contraparte|usd-clp,Sector real|USD/CLP neto Sector real,me-ml|monto transado|fondos de pensiones entidades no bancarias,Sector real,,MM USD,,,
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_AGF,USD/CLP vigente AGF,MONTHLY,Derivados > Monedas > Bancos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|contraparte|usd-clp,AGF|USD/CLP vigente AGF,me-ml|diario|fondos de pensiones entidades no bancarias,AGF,,MM USD,,,
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_AGF,USD/CLP neto AGF,MONTHLY,Derivados > Monedas > Bancos > Bancos diario/mensual > Montos vigentes > Montos vigentes netos por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|neto|contraparte|usd-clp,AGF|USD/CLP neto AGF,me-ml|monto transado|fondos de pensiones entidades no bancarias,AGF,,MM USD,,,
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_Seguros,USD/CLP vigente Seguros,MONTHLY,Derivados > Monedas > Bancos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|contraparte|usd-clp,Seguros|USD/CLP vigente Seguros,me-ml|diario|fondos de pensiones entidades no bancarias,Seguros,,MM USD,,,
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_Seguros,USD/CLP neto Seguros,MONTHLY,Derivados > Monedas > Bancos > Bancos diario/mensual > Montos vigentes > Montos vigentes netos por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|neto|contraparte|usd-clp,Seguros|USD/CLP neto Seguros,me-ml|monto transado|fondos de pensiones entidades no bancarias,Seguros,,MM USD,,,
