chart_id,logical_series,label,frequency,bde_path,mandatory_terms,optional_terms,exclude_terms,expected_dimension_1,expected_dimension_2,unit,selection_status,selected_series_id,review_comment
d03_fx_compras_ventas_neto_sector,fx_Ventas_Interbancario,Ventas Interbancario,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,ventas|interbancario|Ventas|Interbancario|Ventas Interbancario,monto vigente|fondos de pensiones,Ventas,Interbancario,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Neto_Interbancario,Neto Interbancario,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,neto|interbancario|Neto|Interbancario|Neto Interbancario,monto vigente|fondos de pensiones,Neto,Interbancario,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Compras_No residentes,Compras No residentes,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Compras|No residentes|Compras No residentes,monto vigente|fondos de pensiones,Compras,No residentes,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Ventas_No residentes,Ventas No residentes,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Ventas|No residentes|Ventas No residentes,monto vigente|fondos de pensiones,Ventas,No residentes,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Neto_No residentes,Neto No residentes,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Neto|No residentes|Neto No residentes,monto vigente|fondos de pensiones,Neto,No residentes,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Compras_Residentes no bancos,Compras Residentes no bancos,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Compras|Residentes no bancos|Compras Residentes no bancos,monto vigente|fondos de pensiones,Compras,Residentes no bancos,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Ventas_Residentes no bancos,Ventas Residentes no bancos,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Ventas|Residentes no bancos|Ventas Residentes no bancos,monto vigente|fondos de pensiones,Ventas,Residentes no bancos,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Neto_Residentes no bancos,Neto Residentes no bancos,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Neto|Residentes no bancos|Neto Residentes no bancos,monto vigente|fondos de pensiones,Neto,Residentes no bancos,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Compras_Fondos de pensiones,Compras Fondos de pensiones,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Compras|Fondos de pensiones|Compras Fondos de pensiones,monto vigente|fondos de pensiones,Compras,Fondos de pensiones,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Ventas_Fondos de pensiones,Ventas Fondos de pensiones,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Ventas|Fondos de pensiones|Ventas Fondos de pensiones,monto vigente|fondos de pensiones,Ventas,Fondos de pensiones,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Neto_Fondos de pensiones,Neto Fondos de pensiones,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Neto|Fondos de pensiones|Neto Fondos de pensiones,monto vigente|fondos de pensiones,Neto,Fondos de pensiones,MM USD,,,
d04_spc_clp_vigente_plazo_residual,spc_plazo_Hasta 2 años,SPC vigente Hasta 2 años,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte y plazo residual > Total,swap promedio camara|pesos|bancos|monto vigente|plazo residual,Hasta 2 años|SPC vigente Hasta 2 años,monto transado|uf|tasa externa|ois|basis,Hasta 2 años,,MM USD,,,
